nama_lengkap,file_foto
"Ir. Eka Firmansyah, S.T., M.Eng., Ph.D., IPM.",h_eka.png
"Prof. Dr. Ir. Risanuri Hidayat, M.Sc., IPM.",h_risanuri.png
"Dr. Dyonisius Dony Ariananda, S.T., M.Sc.",h_dyonisius.png
"Ridwan Wicaksono, S.T., M.Eng., Ph.D.",h_ridwan.png
"Ir. Oyas Wahyunggoro, M.T., Ph.D.",h_oyas.png
"Ir. Adha Imam Cahyadi, S.T., M.Eng., D.Eng., IPM.",h_adha.png
"Muhammad Faris, S.T., M.Sc.",h_faris.png
"Dr. Indah Soesanti, S.T., M.T.",h_indah.png
"Dr. I Wayan Mustika, S.T., M.Eng.",h_wayan.png
"Dr.Eng. Ir. Igi Ardiyanto, S.T., M.Eng.",h_igi.png
"Ahmad Ataka Awwalur Rizqi, S.T., Ph.D.",h_ahmad.png
"Ir. Wahyu Dewanto, M.T.",h_wahyu.png
"Iswandi, S.T., M.Eng.",h_iswandi.png
"Dr. Rr. Eny Sukani Rahayu, S.T., M.Eng.",h_eny.png
"Ir. Sigit Basuki Wibowo, S.T., M.Eng., Ph.D., IPM.",h_sigit.png
"Enas Dhuhri Kusuma, S.T., M.Eng.",h_enas.png
"Ir. Addin Suwastono, S.T., M.Eng., IPM.",h_addin.png
"Prof. Ir. Hanung Adi Nugroho, S.T., M.Eng., Ph.D., IPM., SMIEEE.",h_hanung.png
"Ir. Agus Bejo, S.T., M.Eng., D.Eng., IPM.",h_agus.png
"Anugerah Galang Persada, S.T., M.Eng.",h_anugerah.png
"Ir. Prapto Nugroho, S.T., M.Eng., D.Eng., IPM.",h_prapto.png
"Dzuhri Radityo Utomo, S.T., M.Sc., Ph.D.",h_dzuhri.png
