nama_lengkap,file_foto
"Prof. Ir. Tumiran, M.Eng., Ph.D.",h_tumiran.png
"Ir. Lesnanto Multa Putranto, S.T., M.Eng., Ph.D., IPM., SMIEEE.",h_lesnanto.jpg
"Husni Rois Ali, S.T., M.Eng., Ph.D., SMIEEE.",h_husni.png
"Dr. Ir. Avrin Nur Widiastuti, S.T., M.Eng., IPM.",h_avrin.png
"Mochammad Wahyudi, S.T., M.T.",h_wahyudi.png
"Harry Prabowo, S.T., M.T.",h_harry.png
"Naufal Hilmi Fauzan, S.Si., M.T.",h_naufal.png
"Prof. Dr.Eng. Ir. F. Danang Wijaya, S.T., M.T., IPM.",h_danang.jpg
"Dr.-Ing. Yohan Fajar Sidik, S.T., M.Eng.",h_yohan.png
"Dr. Ir. M. Isnaeni BS, M.T.",h_isnaeni.png
"Ir. Bambang Sugiyantoro, M.T.",h_bambang.png
"Prof. Ir. Sarjiya, S.T., M.T., Ph.D., IPU.",h_sarjiya.jpg
"Dr. Yusuf Susilo Wijoyo, S.T., M.Eng.",h_yusuf.png
"Ir. Roni Irnawan, S.T., M.Sc., Ph.D., SMIEEE.",h_roni.png
"Fikri Waskito, S.T., M.Eng.",h_fikri.png
